"Tweet" "Country" "Words" "AFScore" "BingScore" "NumWords" "AFINNcats"
"82" "Many Indians can't prove their loved ones died from Covid. And that could be a problem https://t.co/aSVE8NedPo #NEWS https://t.co/UXf2hBmlq9" "RSA" "died_loved_problem" -1 "negative" 3 "(-3;-1]"
"84" "@davidmweissman The fear of getting COVID going on a respirator and dying." "RSA" "fear" -2 "negative" 1 "(-3;-1]"
"107" "#Genesis Postpone Last Four U.K. Shows Due to Positive COVID Tests https://t.co/5wu9O20r4l https://t.co/VS48OyyFRW" "RSA" "positive_postpone" 0 "positive" 2 "0"
"110" "Comcast, #Charter Shares Dip Friday On Fears Of Slower #Broadband Growth Post-Covid https://t.co/CbSskhxs8f https://t.co/TTv0aqM7Cz" "RSA" "growth_shares" 2 "negative" 2 "[1;3)"
"119" "Real-world data show that filters clean COVID-causing virus from air #covid  https://t.co/Zns8Mnicw2" "RSA" "clean" 2 "neutral" 1 "[1;3)"
"123" "School nurses stretched thin amid nationwide staff shortage amid COVID-19 https://t.co/CeaaVxIgt5 https://t.co/KDqVcxbTcn" "RSA" "shortage" -2 "negative" 1 "(-3;-1]"
"132" "Coronavirus FAQ: Should I humor my friend's request for a pointless COVID precaution? https://t.co/TzPDiMuPVw https://t.co/CsHD7QB1J0" "RSA" "humor" 2 "neutral" 1 "[1;3)"
"135" "Massachusetts man who faked own death over Covid relief scam sentenced https://t.co/N0DhUK8O8L #NEWS https://t.co/Ro51OeNuxg" "RSA" "death_scam_sentenced" -2 "negative" 3 "(-3;-1]"
"139" "#NewYorkTimes Issues Messy Correction for Error-Riddled Covid Story https://t.co/jdYL4vUXaK https://t.co/B2AMtkAW7i" "RSA" "error" -2 "negative" 1 "(-3;-1]"
"152" "Bad Government has killed more than COVID ever could." "RSA" "bad_killed" -3 "negative" 2 "[-5;-3]"
"169" "@TPCarney @benshapiro More people die here every weekend from the rampant violence than COVID" "RSA" "die_violence" -3 "negative" 2 "[-5;-3]"
"173" "Hospitals brace for an onslaught this winter, from flu as well as COVID https://t.co/GsIybXtrqu https://t.co/zSKjqGG1yh" "RSA" "flu" -2 "neutral" 1 "(-3;-1]"
"179" "Mike Tyson admits he was 'pretty much beaten into submission' to get COVID vaccine https://t.co/t2IlyaTWmy https://t.co/T5No3BWjXF" "RSA" "admits_beaten_pretty" -1 "positive" 3 "(-3;-1]"
"185" "US employers add weak 194,000 jobs in September as COVID-19 maintains hold https://t.co/DKzQXqEyB5 #HRVA https://t.co/xP86zloIxH" "RSA" "weak" -2 "negative" 1 "(-3;-1]"
"189" "Can testify  the covid 19 vaccine is safe" "RSA" "safe" 1 "positive" 1 "[1;3)"
"191" "@ARotman2 Me, despite my condition not shortening my life span or being a COVID risk, that is absolutely how it would be reported" "RSA" "risk" -2 "negative" 1 "(-3;-1]"
"194" "@patriottakes @1FreshTake has she died of covid?" "RSA" "died" -3 "negative" 1 "[-5;-3]"
"197" "What if Things Are About to Get Better? https://t.co/bhi5sHWLQm" "RSA" "better" 2 "positive" 1 "[1;3)"
"208" "Deeply confused about what would count as a \"low\" rate for the NYT's covid tracker. https://t.co/c4V5m0v7cR" "RSA" "confused" -2 "negative" 1 "(-3;-1]"
"235" "Hong Kong chose China over the rest of the world. Now it's stuck in Covid limbo https://t.co/FStskOY2fT #NEWS https://t.co/bAyNxXC4yl" "RSA" "stuck" -2 "negative" 1 "(-3;-1]"
"253" "Covid: Travel firms hope for boost after UK red list cut - BBC News https://t.co/fFxRtc9M45" "RSA" "boost_cut_hope" 1 "positive" 3 "[1;3)"
"260" "I got COVID in January and now two of my homies have that shit so I GOTTA take my vitamins bro I know I got a weak immune system" "RSA" "immune_shit_weak" -2 "negative" 3 "(-3;-1]"
"268" "Maryland Man Kills Pharmacist Brother Who He Claimed Was \"Killing People with the Covid Shot\" https://t.co/JsY1xwh4Bn via @politicususa" "RSA" "killing_kills" -3 "negative" 2 "[-5;-3]"
"270" "What delayed the lifesaving COVID-19 antiviral pill? https://t.co/hMaQ95zgcD" "RSA" "delayed" -1 "negative" 1 "(-3;-1]"
"280" "One of WAVY's Remarkable Women makes a remarkable recovery from COVID-19 https://t.co/O406P0kzG5 #HRVA https://t.co/t5bRJDIihT" "RSA" "remarkable" 2 "positive" 1 "[1;3)"
"281" "UCHealth Denies Kidney Transplant To Unvaccinated Woman &amp; Donor

https://t.co/5h23LV9UKg" "RSA" "denies" -2 "negative" 1 "(-3;-1]"
"295" "Wales draws up emergency Covid plan to stop NHS being overwhelmed https://t.co/xQzpWc56ao #NEWS https://t.co/PTrWNv14vP" "RSA" "emergency_stop" -2 "negative" 2 "(-3;-1]"
"299" "@therecount Rand Paul is an extremist, COVID denier, insurrectionist, bigot, etc. Who cares what he has to say on anything?" "RSA" "cares_denier" 0 "negative" 2 "0"
"306" "The Guardian view on NHS waiting lists: blame cuts as well as Covid | Editorial https://t.co/XDfRiMvKNz #NEWS https://t.co/nYZdONcuoB" "RSA" "blame_cuts" -2 "neutral" 2 "(-3;-1]"
"326" "Finland limits Moderna COVID-19 vaccine https://t.co/HtB0avr4zn https://t.co/vCa431B63F" "RSA" "limits" -1 "negative" 1 "(-3;-1]"
"327" "Pfizer seeks approval for COVID-19 vaccine for kids https://t.co/ObsfAr64F9 https://t.co/Gk174mgpy9" "RSA" "approval" 2 "positive" 1 "[1;3)"
"329" "The 2022 Geneva Motor Show is nixed thanks to COVID and the chip shortage https://t.co/FW0djTxE3T https://t.co/ks4hR2CqZm" "RSA" "shortage_thanks" 0 "negative" 2 "0"
"352" "'Bumbling Boris proves Covid is all Greek to him in orgy of self-congratulation' https://t.co/QGqN5is9cG https://t.co/UlismETFpc" "RSA" "congratulation" 2 "positive" 1 "[1;3)"
"354" "@MattGertz The only downside of letting them get covid is they will infect others...not just other @FoxNews viewers." "RSA" "downside" -2 "negative" 1 "(-3;-1]"
"366" "BREAKING: Sweden, Denmark both ban Moderna covid vaccine for causing myocarditis in young people https://t.co/69w9vvfsu7" "RSA" "ban" -2 "negative" 1 "(-3;-1]"
"373" "More than 140K US kids lost caregivers to COVID-19 https://t.co/TXC7fnhzi6 https://t.co/PF0tMSSzq9" "RSA" "lost" -3 "negative" 1 "[-5;-3]"
"393" "Man accused of killing pharmacist brother for giving vaccine https://t.co/7V7eTrAu4P #NEWS https://t.co/N1o7MPNfUr" "RSA" "accused_killing" -2 "negative" 2 "(-3;-1]"
"403" "@JohnCroman Older people have about 10,000 times more chance of dying from COVID. She needs to be removed, no waiting." "RSA" "chance_no" 0 "negative" 2 "0"
"409" "More than 400,000 people in Britain have been suffering from 'long Covid' for over a year https://t.co/mHZ0ApyH8A https://t.co/rFkkFh5I85" "RSA" "suffering" -2 "negative" 1 "(-3;-1]"
"419" "Most of Us Have No Idea How Horrific Dying From COVID Really Is https://t.co/MKyJJpt7df https://t.co/qFjF2bIJg8" "RSA" "horrific_no" -2 "negative" 2 "(-3;-1]"
"420" "Clay Travis: Biden led his campaign on COVID, but things have gotten worse since 2020 https://t.co/oiwNpz0bcT https://t.co/jOxsck0uWE" "RSA" "worse" -3 "neutral" 1 "[-5;-3]"
"428" "Nadhim Zahawi admits MASKS could return in schools to thwart Covid this winter https://t.co/5aSFPJpEWl https://t.co/plnSTkhgh6" "RSA" "admits_thwart" -2 "negative" 2 "(-3;-1]"
"429" "Number of Britons falling ill with Covid every day is now at 'highest level since JANUARY' https://t.co/reKKw3xnnF https://t.co/2P11aZqGNx" "RSA" "falling_ill" -2 "negative" 2 "(-3;-1]"
"431" "If all this covid crap started from an animal then, why dont pets spread it too?" "RSA" "crap" -3 "negative" 1 "[-5;-3]"
"444" "Courage in a crisis: how everyday citizens coped with Covid across the world https://t.co/juM7qs89Md #NEWS https://t.co/oco8kpo9Oz" "RSA" "courage_crisis" 0 "neutral" 2 "0"
"453" "COVID deaths leave thousands of U.S. kids grieving parents or primary caregivers https://t.co/K294dYumr8 https://t.co/suxkxUOljs" "RSA" "leave" -1 "negative" 1 "(-3;-1]"
"466" "@_BarringtonII Poor/working class/black/brown

As has every destructive covid policy pushed by left for 2 years" "RSA" "destructive_poor" -2 "negative" 2 "(-3;-1]"
"473" "Pfizer Whistleblower LEAKS Execs Emails EXPOSING Suppression of Covid Va... https://t.co/RJXnqmoCyV via @YouTube ." "RSA" "exposing" -1 "negative" 1 "(-3;-1]"
"475" "Pfizer Whistleblower LEAKS Execs Emails EXPOSING Suppression of Covid Va... https://t.co/RJXnqmoCyV via @YouTube" "RSA" "exposing" -1 "negative" 1 "(-3;-1]"
"477" "Evander Kane Reportedly Under NHL Investigation For Fake COVID-19 Vaccine Card https://t.co/0vxDdfwICS https://t.co/5qKrTuyETF" "RSA" "fake" -3 "negative" 1 "[-5;-3]"
"482" "Ivermectin: How false science created a Covid miracle drug https://t.co/1lJOgOePGB #NEWS https://t.co/hBj6hHv5au" "RSA" "miracle" 4 "neutral" 1 "[3;5]"
"499" "Report: Sharks' Kane may have fake vaccine card https://t.co/2qp8vV9H5m #Sports https://t.co/3b8MUyLfia" "RSA" "fake" -3 "negative" 1 "[-5;-3]"
"500" "Abreu not COVID-19 positive, headed to Houston https://t.co/qcC3ogn2GA #Sports https://t.co/1aBP0NurvD" "RSA" "positive" 2 "positive" 1 "[1;3)"
"530" "Nikki Haley says this is worse than Covid. See Keilar's response

https://t.co/CNh4SbPXM8" "RSA" "worse" -3 "negative" 1 "[-5;-3]"
"541" "Excellent news for our country: White House to announce $1 billion purchase of rapid, at-home coronavirus tests. https://t.co/IBuAat5bTQ" "RSA" "excellent" 3 "positive" 1 "[3;5]"
"554" "VIDEO: Mammograms are still safe despite COVID-19 pandemic https://t.co/2mECxJE90E #OBX https://t.co/ewW5I59t3s" "RSA" "safe" 1 "positive" 1 "[1;3)"
"558" "Washington woman dead after rare J&amp;J COVID vaccine-induced blood clot https://t.co/yMhLX7xK02 https://t.co/8vsqTrA5Ms" "RSA" "dead" -3 "negative" 1 "[-5;-3]"
"561" "Biden administration to boost at-home rapid testing with $1 billion investment https://t.co/5POM7M7BzV #NEWS https://t.co/NSgYX8V2Fx" "RSA" "boost" 1 "positive" 1 "[1;3)"
"568" "We had one great one but it closed when Covid hit. That shit be all the fun https://t.co/h26JoW4lD9" "RSA" "fun_great_shit" 1 "positive" 3 "[1;3)"
"569" "In Nepal, a woman treks over mountains to bring vaccines to the most vulnerable https://t.co/m9qUOtD9jL https://t.co/pwW2oFITQT" "RSA" "vulnerable" -2 "negative" 1 "(-3;-1]"
"570" "#TrevorNoah takes a disturbing deep dive into religious vaccine exemptions https://t.co/UJSVBf3kps https://t.co/vZtUtKY11M" "RSA" "disturbing" -2 "negative" 1 "(-3;-1]"
"577" "HHS vaccination ads use a new tactic to increase Covid-19 vaccination rates: fear https://t.co/R8Tq1qv0um #NEWS" "RSA" "fear_increase" 0 "negative" 2 "0"
"589" "Nikki Haley says this is worse than Covid. See Keilar's response https://t.co/zXT1P26F8F #NEWS https://t.co/lU6GmV4JhY" "RSA" "worse" -3 "negative" 1 "[-5;-3]"
"592" "@RandPaul Report tweet &gt; Misleading &gt; Health &gt; Covid 19" "RSA" "misleading" -3 "negative" 1 "[-5;-3]"
"603" "Grants to USA Libraries and Schools for Technology to Support Distance Learning During the COV- Due: 10/13/2021 https://t.co/X6GhTnOSlY" "RSA" "grants_support" 2 "positive" 2 "[1;3)"
"605" "Grants to USA Health Care Providers for Support During the COVID-19 Crisis-  Due: 10/26/2021 https://t.co/OAlkIytDde" "RSA" "care_crisis_grants_support" 0 "neutral" 4 "0"
"607" "Food Network Killed 'Halloween Wars' Pumpkin Carving Because of COVID https://t.co/bq8eImL8vI https://t.co/w9aMFnwCt1" "RSA" "killed" -3 "negative" 1 "[-5;-3]"
"611" "Texas man sentenced to 15 months in prison for posting Covid hoax on social media https://t.co/9zDWWVvBME #NEWS https://t.co/Vivmx8xXay" "RSA" "hoax_prison_sentenced" -2 "negative" 3 "(-3;-1]"
"626" "$pton dead lol.. covid stocks are dead https://t.co/4lf7FwUUeo" "RSA" "dead_lol" -1 "negative" 2 "(-3;-1]"
"636" "Denver Police Officer Forced to Take COVID Vaccine, Now He Says He Lost the Ability to Walk via @WestJournalism https://t.co/RsB6UO80e0" "RSA" "ability_forced_lost" -1 "negative" 3 "(-3;-1]"
"641" "@ThomasEWoods Covid broke their brains, just like Trump broke a lotta brains..." "RSA" "broke_like" 0 "neutral" 2 "0"
"642" "@KatieOGrady4 I hope it's not COVID, and that you recover quickly from whatever it is." "RSA" "hope" 2 "positive" 1 "[1;3)"
"692" "@MsCaliper Because u been scared of covid so though u gonna run and go get it" "RSA" "scared" -2 "negative" 1 "(-3;-1]"
"711" "J&amp;J asks FDA to clear booster dose of its coronavirus vaccine https://t.co/iXQDaNkOH2 by @NedPagliarulo $JNJ $PFE $BNTX $MRNA #COVID19" "RSA" "clear" 1 "positive" 1 "[1;3)"
"727" "At-home COVID-19 tests recalled after false-positive results https://t.co/ZwBgnk1drJ #HRVA https://t.co/y3ABGBfla2" "RSA" "positive" 2 "neutral" 1 "[1;3)"
"732" "Top Figure Behind United States' Covid Vaccine Push is Unexpectedly Stepping Down - Becker News https://t.co/9aBd6NdzSA" "RSA" "top_united" 2 "neutral" 2 "[1;3)"
"745" "@1pcornwell There was one in front of a church in my little town. They took it out after Covid. Afraid of spreading it." "RSA" "afraid" -2 "negative" 1 "(-3;-1]"
"752" "Wait and see? Cautious optimism as COVID-19 cases decline across US https://t.co/GXT36nujT0 #HRVA https://t.co/6N8i3w1xTj" "RSA" "cautious_optimism" 0 "neutral" 2 "0"
"757" "Just senseless....wear a damn mask

https://t.co/OQH9XldFzV" "RSA" "damn" -4 "negative" 1 "[-5;-3]"
"765" "Guatemala: Anti-vaccine villagers attack and hold nurses with Covid jabs https://t.co/bKdTtoupDn #NEWS https://t.co/c6hgD7BanH" "RSA" "anti_attack" -1 "negative" 2 "(-3;-1]"
"768" "Unjabbed mum dies of Covid after emergency Caesarean before meeting her 9th child https://t.co/vhNEPPQRkz https://t.co/us4JRcjKsx" "RSA" "emergency" -2 "negative" 1 "(-3;-1]"
"770" "AstraZeneca seeks U.S. approval for new COVID treatment https://t.co/9XXTZxocmq https://t.co/44X88twoIU" "RSA" "approval" 2 "positive" 1 "[1;3)"
"771" "All of the vaccine companies love that #Covid_19 money the government dishes out, don't they?" "RSA" "love" 3 "positive" 1 "[3;5]"
"775" "Dr. Zev Zelenko EXCLUSIVE: Stew Peters 1-on-1 Explosive Interview Exposes COVID Lies! https://t.co/OoWhBc3hKb" "RSA" "exclusive_exposes" 0 "negative" 2 "0"
"777" "Hero NHS nurse who saved Boris Johnson says anti-vaxxers are now begging for Covid jab https://t.co/WO2DvIQekP https://t.co/Cdqo74P9kv" "RSA" "anti_hero_saved" 1 "neutral" 3 "[1;3)"
"783" "Anger and grief: New Zealanders fearful as Covid elimination strategy ends https://t.co/DqsDI0KLXX #NEWS https://t.co/6s2ys1W0yU" "RSA" "anger_fearful_grief" -2 "negative" 3 "(-3;-1]"
"790" "sigh: Pfizer/BioNTech COVID-19 vaccine effectiveness drops after 6 months, study shows https://t.co/i5op9RUJHs" "RSA" "sigh" -2 "positive" 1 "(-3;-1]"
"792" "Dr Bryan Ardis with the most stunning TRUTH about Covid  Fauci &amp; Remdesivir  you could never imagine https://t.co/NCHm5BAfFD via @BitChute" "RSA" "stunning" 4 "positive" 1 "[3;5]"
"793" "Kroger offering COVID-19 booster shots, flu shots to ease demand https://t.co/tTmBZPbsCe #HRVA https://t.co/UvxkXVWdUe" "RSA" "demand_ease_flu" 0 "positive" 3 "0"
"820" "Bridgerton Emmy winner Marc Pilcher dies of Covid at 53 https://t.co/BWu3fMzpKK #NEWS https://t.co/35JDmdoijd" "RSA" "winner" 4 "neutral" 1 "[3;5]"
"825" "Democrats attack COVID relief funding https://t.co/gG9hoViy3P" "RSA" "attack" -1 "neutral" 1 "(-3;-1]"
"826" "Doctors across the country frustrated over COVID denial, misinformation https://t.co/twQ5yeCRQR #HRVA https://t.co/H3Cqy0OGhA" "RSA" "frustrated_misinformation" -2 "negative" 2 "(-3;-1]"
"827" "This WhatsApp issue hit like Covid-19. We never expected it." "RSA" "like" 2 "neutral" 1 "[1;3)"
"849" "Doctors grow frustrated over COVID-19 denial, misinformation https://t.co/SFEXwlwR5U https://t.co/K2VAGS2RnF" "RSA" "frustrated_misinformation" -2 "negative" 2 "(-3;-1]"
"858" "LIVE: Teachers protest New York City's COVID-19 vaccine mandate https://t.co/caXYEBxxWM via @YouTube" "RSA" "protest" -2 "negative" 1 "(-3;-1]"
"860" "A pandemic worse than Covid. https://t.co/ZUFgtm6RCc" "RSA" "worse" -3 "negative" 1 "[-5;-3]"
"862" "LIVE: Teachers protest New York City's COVID-19 vaccine mandate https://t.co/y2xD0bNAVo https://t.co/QCwzEyqnwK" "RSA" "protest" -2 "negative" 1 "(-3;-1]"
"864" "Solitary confinement inflicts lasting harm to prisoners' health. It's on the rise https://t.co/P6EWUtdq5e https://t.co/ckrzcajco1" "RSA" "harm_prisoners" -2 "negative" 2 "(-3;-1]"
"865" "Judging 'sincerely held' religious belief is tricky for employers mandating vaccines https://t.co/7MOwnuBO8E https://t.co/qHVK3HPUZC" "RSA" "sincerely" 2 "neutral" 1 "[1;3)"
"868" "Covid UK: Cases drop week-on-week for fifth day in a row as deaths fall to 33 https://t.co/juyNQINa8F https://t.co/36Kq6fzOQW" "RSA" "drop" -1 "negative" 1 "(-3;-1]"
"882" "Covid vaccines have only killed NINE Britons, Government statisticians say https://t.co/g6TlIljxla https://t.co/2gGeE97baA" "RSA" "killed" -3 "negative" 1 "[-5;-3]"
"888" "Free-State Covid-19 Update https://t.co/pubuHnNQLn" "RSA" "free" 1 "positive" 1 "[1;3)"
"893" "New Zealand abandons its COVID elimination strategy https://t.co/zcGuFoLSeH https://t.co/ZAK91Bm5Eq" "RSA" "abandons" -2 "negative" 1 "(-3;-1]"
"902" "Warriors' Andrew Wiggins gets COVID vaccine after contentious media day, Steve Kerr says https://t.co/gewpys6CTP https://t.co/i7lIyXQ3pl" "RSA" "contentious" -2 "negative" 1 "(-3;-1]"
"911" "Hidden figures: In New Jersey and Mississippi, the COVID death rate is higher than Brazil https://t.co/jWWb1wv4nL" "RSA" "death" -2 "negative" 1 "(-3;-1]"
"912" "I will not take any covid jabs.
To call them vaccines is straight forward lying! https://t.co/sMZwkjajEn" "RSA" "straight" 1 "negative" 1 "[1;3)"
"920" "New Zealand admits it can't get rid of COVID, plans to ease lockdown https://t.co/hr4xzdkVtI #HRVA https://t.co/0FYWh0n8Gu" "RSA" "admits_ease" 0 "positive" 2 "0"
"924" "Signs of encouragement as US sees drop in Covid cases and hospitalizations https://t.co/SjBOhZMO5v" "RSA" "drop_encouragement" 0 "positive" 2 "0"
"926" "Covid vaccines: How fast is progress around the world? https://t.co/zL7t5u0HNf #NEWS https://t.co/kVFoAubDWK" "RSA" "progress" 2 "positive" 1 "[1;3)"
"930" "Brazil's tragic ivermectin frenzy is a warning to the US, experts say #SmartNews  https://t.co/aCzMERQswy" "RSA" "frenzy_tragic_warning" -3 "negative" 3 "[-5;-3]"
"939" "MEC Khoza: We are here today because of COVID-19 and everyone is affected by this deadly virus. #VoomaVaccination https://t.co/4xVgEmF5q6" "RSA" "affected" -1 "negative" 1 "(-3;-1]"
"945" "@MosemeWa You're so wrong,,,, covid 19 vaccine certificate is per the who standard that's being used internationally" "RSA" "wrong" -2 "negative" 1 "(-3;-1]"
"946" "Covid-19: India to pay $674 compensation for every death https://t.co/DetZNJ5ktg #NEWS https://t.co/Dl8jUHwjKf" "RSA" "death_pay" -2 "negative" 2 "(-3;-1]"
"956" "Charlotte Hawkins returns to Good Morning Britain after isolating amid Covid battle https://t.co/miedXnkHAj https://t.co/AaeUB3sqvR" "RSA" "battle_good" 1 "positive" 2 "[1;3)"
"968" "Got my booster Covid-19 vaccine last week. Feel great and safe. Not much reaction other than mild soreness in the arm." "RSA" "great_safe" 2 "positive" 2 "[1;3)"
"969" "Belk Fires 72-Year-Old Woman Over Christian Faith For Rejecting Experimental COVID Shot (Video) 

#BoycottBelk https://t.co/TPwU3sax4F" "RSA" "faith_rejecting" 0 "neutral" 2 "0"
"996" "Families mourn loss of unvaccinated loved ones at Covid-19 memorial https://t.co/baeDFav9xm #NEWS https://t.co/cGlgcvFUlc" "RSA" "loss_loved_mourn" -1 "negative" 3 "(-3;-1]"
"1002" "Here comes the anti-vaccine requirement solidarity movement https://t.co/351xS0CPG8 #NEWS https://t.co/6fP2aqxNjH" "RSA" "anti_solidarity" 0 "positive" 2 "0"
"1004" "@LastWeekinAWS @nimboya The analogy to COVID-19 to describe the difference between Monitoring and Observability was excellent!" "RSA" "excellent" 3 "positive" 1 "[3;5]"
"1011" "https://t.co/Lrue49fvX6  Don Lemon is like Joseph Goebbels!" "RSA" "like" 2 "neutral" 1 "[1;3)"
"1020" "@eNCA I thought was shot dead by covid 19 gun." "RSA" "dead_gun" -2 "negative" 2 "(-3;-1]"
"1022" "Wow Walgreens reelly messed up
https://t.co/T6bWCbo95W" "RSA" "messed_wow" 1 "neutral" 2 "[1;3)"
"1025" "@empire_mtn Key players make plays &amp; the positive momentum spreads like COVID, which in this case is a positive!" "RSA" "like_positive" 2 "positive" 2 "[1;3)"
"1027" "The CDC emphasizes COVID vaccinations as a key to safe holiday gatherings https://t.co/UUka5fU8z5 https://t.co/l7xTk30ZmR" "RSA" "safe" 1 "positive" 1 "[1;3)"
"1030" "Natasha Tiner, 35, RN And Anti-Vaxxer - Dead From COVID | @crooksandliars https://t.co/9ZV5Yzb6GP" "RSA" "anti_dead" -2 "negative" 2 "(-3;-1]"
"1032" "Kingsbury tests positive, to miss Browns game https://t.co/Ny5RiyGiHF #Sports https://t.co/g6ulTJaHDv" "RSA" "miss_positive" 0 "neutral" 2 "0"
"1034" "Senator banned from airline for refusing to wear a mask contracts Covid #SmartNews  https://t.co/pMqLSzuwTj" "RSA" "banned_refusing" -2 "negative" 2 "(-3;-1]"
"1041" "#RobHalford Beat Prostate Cancer During COVID-19 Pandemic https://t.co/Vibmvva7EG https://t.co/yVoddDOLON" "RSA" "cancer" -1 "negative" 1 "(-3;-1]"
"1045" "UK ministers face questions over firm linked to suspected Covid test errors https://t.co/M4EPWGWiww #NEWS https://t.co/9EpU8fbT7J" "RSA" "errors_suspected" -2 "negative" 2 "(-3;-1]"
"1046" "Why are Britons so much more relaxed about Covid than Europeans? https://t.co/uOtntKcL9U #NEWS https://t.co/AE68KWfbIp" "RSA" "relaxed" 2 "positive" 1 "[1;3)"
"1074" "FDA panel endorses booster shot for J&amp;J COVID-19 vaccine https://t.co/nGr3exrU9Y #HRVA https://t.co/BpyOIJIw22" "RSA" "endorses" 2 "positive" 1 "[1;3)"
"1081" "New Navy Guidance Will Discharge Sailors Refusing COVID-19 Vaccination Without Exemption https://t.co/UZ6QtuThLD" "RSA" "refusing" -2 "neutral" 1 "(-3;-1]"
"1091" "@LRyan_Storms Escape room (though you may want to be sure it's a private experience if you are concerned about COVID vax/transmission)." "RSA" "escape_want" 0 "negative" 2 "0"
"1093" "UK Covid cases surge to almost 45,000 in 24 hours as 145 more people die https://t.co/rKgoTjuauX https://t.co/QlDbizo8oU" "RSA" "die" -3 "negative" 1 "[-5;-3]"
"1099" "5 great post-COVID lessons about engaging more deeply with your school's families https://t.co/VO4oMsx8gU via @DA_magazine" "RSA" "great" 3 "positive" 1 "[3;5]"
"1105" "Anti-Vax Flat Earth Preacher Rob Skiba Dies From COVID-19 | @crooksandliars https://t.co/e46TCKbPzj" "RSA" "anti_rob" -2 "negative" 2 "(-3;-1]"
"1106" "@Lenabellalou Oh great! Have they been tested for Covid?" "RSA" "great" 3 "positive" 1 "[3;5]"
"1111" "Local shopkeepers share solutions that helped their businesses thrive despite Covid https://t.co/9I4y10y18z https://t.co/CoMf811Loo" "RSA" "share_solutions" 1 "positive" 2 "[1;3)"
"1112" "@TexasAmerica @LadyJayPersists @RealSaavedra @SecretaryPete Calling #COVID a hoax got us here, whether you want to admit it or not." "RSA" "admit_hoax_want" -1 "negative" 3 "(-3;-1]"
"1121" "BREAKING Covid returns to January levels with 1MILLION infected - and 2 groups hit worst https://t.co/SoITvWyrAc https://t.co/AREZgkzjYJ" "RSA" "infected_worst" -2 "negative" 2 "(-3;-1]"
"1122" "@paulcshipley COVID has a nasty sense of humor and it loves fluffy white guys." "RSA" "humor_nasty" 0 "positive" 2 "0"
"1127" "@Arkwulf I can't decide if I want to risk Covid and a panic attack to see it in a theater or just enjoy it at home." "RSA" "attack_enjoy_panic_risk_want" -1 "negative" 5 "(-3;-1]"
"1136" "Covid test lab in Wolverhampton suspended over wrong results https://t.co/x5vNWAFvNX #NEWS https://t.co/TJxrcjzmAY" "RSA" "suspended_wrong" -2 "negative" 2 "(-3;-1]"
"1142" "False negatives at testing site: Covid sufferers in Berkshire are mistakenly given all-clear https://t.co/R44oH6PA2y https://t.co/Yz88s8VrfJ" "RSA" "clear" 1 "negative" 1 "[1;3)"
"1148" "How Covid spread fear of globalisation and threatens a new world order https://t.co/pNKRkIFgfW #NEWS https://t.co/Nl4ANdwIQW" "RSA" "fear_threatens" -2 "negative" 2 "(-3;-1]"
"1149" "#COVID scientists in the public eye need protection from threats  https://t.co/fzjm5rnQsl" "RSA" "threats" -2 "neutral" 1 "(-3;-1]"
