"Tweet" "City" "Words" "AFScore" "BingScore" "NumWords" "AFINNcats"
"202" "@SisLoveJoy @girl_kaybee @thendo_suffo Covid 19 still kills instantly,better eat before we die" "CT" "better_die_kills" -1 "neutral" "3" "(-3;-1]"
"207" "Cuba seeks WHO approval of its Covid-19 vaccines https://t.co/0MrqRq9Y9L" "CT" "approval" 2 "positive" "1" "[1;3)"
"235" "@quesadiyya I still feel my asthmatic covid lungs are not 100% but how I got to 10 with little struggle amazes me" "CT" "amazes_struggle" 0 "neutral" "2" "0"
"245" "One in 500 Americans have died of Covid-19, new data shows https://t.co/yi36B3d8rV" "CT" "died" -3 "negative" "1" "[-5;-3]"
"248" "@kitzluvs @lipglossgirl @fancyfunshy I use this site. It's excellent. https://t.co/qyFio8ZBb6" "CT" "excellent" 3 "positive" "1" "[3;5]"
"250" "@DigitalLesotho What's your smart idea of dealing with covid-19?" "CT" "smart" 1 "positive" "1" "[1;3)"
"256" "https://t.co/qjsopdoGpr

Our HCWs are tired - Our Best Shot! Mandatory Covid-19 Vaccination and Boosters for Healthcare Workers" "CT" "best_mandatory_tired" 0 "neutral" "3" "0"
"288" "@57777JT @zilevandamme Actually you are wrong. The majority of people dying of Covid are not vaccinated. You need to get your facts right" "CT" "wrong" -2 "negative" "1" "(-3;-1]"
"292" "@TwirraZA @Juliet_Prowse @zilevandamme Are you in a COVID free area?" "CT" "free" 1 "positive" "1" "[1;3)"
"297" "Only 2% of recent Covid-19 death claims were for fully vaccinated people - Momentum https://t.co/Hp02ez8WjF" "CT" "death" -2 "negative" "1" "(-3;-1]"
"309" "@YaKastro @StiggaMagic @MishackMalose @WendelBloem1 @Mukundi26936390 AIDS is worse than covid" "CT" "worse" -3 "negative" "1" "[-5;-3]"
"323" "Dis-Chem acts against staff issuing fraudulent COVID jab certificates https://t.co/wePatTsJ0Z via @ewnupdates https://t.co/2g4JFtOidx" "CT" "fraudulent" -4 "negative" "1" "[-5;-3]"
"337" "@947 @Thando_Thabethe @AlexCaige @DJZinhle Please can i win the whimpie voucher covid got me craving but cant afford pleaes#947BirthdayBoard" "CT" "please_win" 2 "positive" "2" "[1;3)"
"345" "DUP councillor who shared anti-vax messages online dies after contracting Covid https://t.co/R3tR0omoyF" "CT" "anti_shared" 0 "negative" "2" "0"
"357" "There is already an informal settlement called \"COVID\".

Welcome to Cape Town." "CT" "welcome" 2 "positive" "1" "[1;3)"
"360" "What evidence do you have they died from Covid-19? https://t.co/jWSQmfcc1y" "CT" "died" -3 "negative" "1" "[-5;-3]"
"361" "Less than 6000 have died from vaccine about 4.5 million have died from Covid-19 https://t.co/VPkEqXd7Nr" "CT" "died" -3 "negative" "1" "[-5;-3]"
"367" "@ezaap @TimesLIVE @COVID_19_ZA @HealthZA @CapeTown Absolutely breathtakingly beautiful - THANK YOU" "CT" "beautiful_thank" 2 "positive" "2" "[1;3)"
"371" "@JustAPawnStar Faktap. Heeltemal faktap. En lyk my Covid het die mense nog maller gemaak." "CT" "die" -3 "negative" "1" "[-5;-3]"
"374" "#mcb3024S REALLY good article to have a look at: antivirals!! https://t.co/RqJbqEEGYt" "CT" "good" 3 "positive" "1" "[3;5]"
"380" "Israeli Supreme Court dismisses a challenge to a broad Covid-19 Vaccine mandate https://t.co/eBBmPhOICb" "CT" "challenge" -1 "positive" "1" "(-3;-1]"
"394" "Well said. If you're anti-vaxx or Covid-denialist, then don't go to hospital when you catch the virus https://t.co/D0f9Aih0Cx" "CT" "anti" -1 "neutral" "1" "(-3;-1]"
"395" "@LouisNel Sad. Predominately caused by poor Government management of COVID-19" "CT" "poor_sad" -2 "negative" "2" "(-3;-1]"
"419" "More news about reasons to avoid the toxic spike protein jab.
https://t.co/q9B3yU3Uee" "CT" "avoid" -1 "negative" "1" "(-3;-1]"
"437" "@SARugbymag No time with Covid protocols. I strongly suspect he will feature in the November tests" "CT" "no_suspect" -1 "negative" "2" "(-3;-1]"
"442" "COVID-19 | Concern over mandatory vaccination https://t.co/0qU29T4iud via @YouTube" "CT" "mandatory" -1 "negative" "1" "(-3;-1]"
"458" "@CoruscaKhaya Covid death are said not to go through Autopsy..how do they know its the virus tht killed him ....." "CT" "death_killed" -2 "negative" "2" "(-3;-1]"
"473" "Only 2% of recent Covid-19 death claims were for fully vaccinated people - Momentum https://t.co/ivavirZD0Y via @fin24" "CT" "death" -2 "negative" "1" "(-3;-1]"
"501" "Terrible.
South Africa has lost 85 000 people to Covid so the numbers are sore this side too. https://t.co/Kvo7AMVq03" "CT" "lost_sore_terrible" -2 "negative" "3" "(-3;-1]"
"505" "My SURGEON referring to COVID: Never in my medical career have I been surrounded by so much death." "CT" "death" -2 "negative" "1" "(-3;-1]"
"513" "Sjoe... CRISIS LIKE NO OTHER: Corpses piled in trucks a sign of Covid times, say undertakers https://t.co/y04OU9YynT" "CT" "crisis_like_no" -1 "neutral" "3" "(-3;-1]"
"517" "@LornArtcraft @gtfinchy @NickHudsonCT hre is an interesting article https://t.co/UC62SGR5R7" "CT" "interesting" 2 "positive" "1" "[1;3)"
"523" "@eNCA @SouthAfricanASP Hulle die covid ward toe gemaak want dis besmet, j visit net Vir n check up Dan boom j covid" "CT" "die_want" -1 "neutral" "2" "(-3;-1]"
"534" "Exactly and she followed covid protocol nah Definitely a top look https://t.co/c49HAlfISK" "CT" "top" 2 "positive" "1" "[1;3)"
"546" "This COVID injection really fucks up your arm. Gah damn.

I have a -10 pain threshold though." "CT" "damn_pain" -3 "negative" "2" "[-5;-3]"
"547" "@SAfmnews What about the statistics of the people that have died from the Covid vaccine?" "CT" "died" -3 "negative" "1" "[-5;-3]"
"550" "@BenignVanilla @SweetThingMemes Glad you asked.
Start you off with some UK figures on this gov site: https://t.co/1grYPIqVzi" "CT" "glad" 3 "positive" "1" "[3;5]"
"562" "Says Me Dr Fauci! The Creator of The Virus! \"Covid-19 Murdering Logic\" E... https://t.co/pAwmsrGw8n via @YouTube" "CT" "murdering" -3 "negative" "1" "[-5;-3]"
"564" "tested positive for covid again" "CT" "positive" 2 "positive" "1" "[1;3)"
"568" "Covid is hell boys" "CT" "hell" -4 "negative" "1" "[-5;-3]"
"571" "@RoyaltyGomo Covid watching u like  waitsiba level 4 https://t.co/ILDRLJnIKa" "CT" "like" 2 "positive" "1" "[1;3)"
"575" "My God

Is a side effect of Covid extreme stupidity" "CT" "god" 1 "negative" "1" "[1;3)"
"578" "Covid is not just a 10-day illness; the effects last much longer for many. Get vaccinated. https://t.co/nIS3ESY5pr" "CT" "illness" -2 "negative" "1" "(-3;-1]"
"581" "Read some articles today on how Covid has affected financial planning and wow, there were way more implications than I had thought." "CT" "affected_wow" 2 "positive" "2" "[1;3)"
"592" "@itsjustlon Bruh we had the league wrapped up by that time already Covid didn't benefit us in any way it just delayed the inevitable." "CT" "benefit_delayed" 0 "negative" "2" "0"
"619" "Israeli anti-vaxx leader dies of COVID-19 https://t.co/Q58VuqyVa6" "CT" "anti" -1 "negative" "1" "(-3;-1]"
"643" "@MelissaMoniz11 @BitaScicomm I am sorry to hear this. I hope they find solution to long covid soon." "CT" "hope_solution_sorry" 1 "negative" "3" "[1;3)"
"650" "I'm currently in isolation so that they can test me for Covid-19. Once the test comes back negative, I'll be allowed to have visitors." "CT" "negative" -2 "negative" "1" "(-3;-1]"
"659" "We are now getting into that period of year-end fatigue whilst going through Covid fatigue. Hayi, ubomi zintonga ezabonwa ngu Stompie Mavi." "CT" "fatigue" -2 "negative" "1" "(-3;-1]"
"669" "They All Know! They're All Guilty. Covid Vax Cause Injuries &amp; Deaths https://t.co/XUkjqDa2Ra via @BitChute" "CT" "guilty" -3 "negative" "1" "[-5;-3]"
"672" "@ShareenSingh8 But you have no suspicion on the Covid-19 virus" "CT" "no" -1 "negative" "1" "(-3;-1]"
"676" "@ElaineRidgway12 @Our_DA @jsteenhuisen What is covid? Where was it purified and isolated??" "CT" "isolated" -1 "negative" "1" "(-3;-1]"
"679" "@MikeyNoTweet If you're talking about Covid, no, I would obviously trust medical consensus ahead of a political parties." "CT" "no_trust" 0 "positive" "2" "0"
"721" "Shoutout to one of the tilers who worked here now that turned out to be an antivaxxer despite getting covid twice (badly the first time)" "CT" "badly" -3 "neutral" "1" "[-5;-3]"
"730" "City Lodge Hotels rides out Covid-19 storm through innovation https://t.co/dUUgpV3udp https://t.co/VtTMHZioZG" "CT" "innovation" 1 "positive" "1" "[1;3)"
"731" "Bob Enyart, Who Mocked AIDS Victims and Spread COVID Lies, Has Died of COVID https://t.co/75fsMtKbUt" "CT" "died_mocked_victims" -3 "negative" "3" "[-5;-3]"
"745" "@DDonkerbal Die mense is anti covid vax, maar elke jaar staan hulle voor in die ry vir die griep inspuiting" "CT" "anti_die" -2 "negative" "2" "(-3;-1]"
"748" "@DDonkerbal anti vax is bullshit mk ultra mockinbird media propaganda parroting  - its anti covid vax" "CT" "anti_bullshit_propaganda" -2 "negative" "3" "(-3;-1]"
"750" "Interesting view on Covid  https://t.co/tRn3fjVFym" "CT" "interesting" 2 "positive" "1" "[1;3)"
"761" "And take ARVs. Now lets not make that same mistake by refusing Covid Vaccines." "CT" "mistake_refusing" -2 "negative" "2" "(-3;-1]"
"773" "@Sivenathiii @garriwhitesoup @ChinaMuziQ @LisaMokoenaP Both vaxxed an unvaxxed get Covid, so y bully ppl to vax?" "CT" "bully" -2 "negative" "1" "(-3;-1]"
"781" "@News24 @Fin24 Is that death claims for people dying of covid of side effects of the vaccine?" "CT" "death" -2 "negative" "1" "(-3;-1]"
"783" "@willemlombaard @iGodfrey4CE @News24 @TebogoMonama Just lost another one this morning. Covid deniers are beyond help. Stupidly at its worst." "CT" "deniers_help_lost_stupidly_worst" -2 "negative" "5" "(-3;-1]"
"802" "@CAPITALSIGMAza @BuXiMadonna @nickhedley Headline was changed a bit, but remains misleading: https://t.co/6YgREKohJZ" "CT" "misleading" -3 "negative" "1" "[-5;-3]"
"811" "Unnatural deaths, alcohol bans and curfews: Evidence from a quasi-natural experiment during COVID-19 https://t.co/MeYbQIYUIP" "CT" "natural" 1 "negative" "1" "[1;3)"
"829" "A good reminder to think carefully about the technology we build and how it impacts society: https://t.co/DziO5i1DVq" "CT" "carefully_good" 2 "positive" "2" "[1;3)"
"847" "@gubsie15 Find vaccination centres and get a free trip on uber to the vaccination centre. https://t.co/tYCEwoqt1z" "CT" "free" 1 "positive" "1" "[1;3)"
"868" "Israeli anti vaccine leader dies of covid 19" "CT" "anti" -1 "negative" "1" "(-3;-1]"
"878" "SA doctors warned to stop spreading false information about Covid-19 vaccines https://t.co/nbhSfLQB82" "CT" "stop_warned" -2 "negative" "2" "(-3;-1]"
"881" "Covid has shown up the godless people. So afraid of death because this life is their heaven." "CT" "afraid_death_heaven" -1 "negative" "3" "(-3;-1]"
"892" "@DaniArgTG Hey, there are people of the opinion that Covid is a good form of population control..." "CT" "good" 3 "positive" "1" "[3;5]"
"905" "@SA_Mum I know many people who got COVID more than once.... I am not sure I would be willing to bet on \"natural immunity\"" "CT" "natural" 1 "positive" "1" "[1;3)"
"906" "COVID pushed 31 million people into extreme poverty https://t.co/iFE0fX1MIe" "CT" "poverty" -1 "negative" "1" "(-3;-1]"
"910" "If Kim Kardashian can abide by covid protocols so can you. Proud of you Kim. https://t.co/aeY4B7oTQf" "CT" "proud" 2 "positive" "1" "[1;3)"
"917" "Let me just sleep. I blame Covid actually https://t.co/uXlWagmRvn" "CT" "blame" -2 "negative" "1" "(-3;-1]"
"919" "@KernowMaiden Stop spreading fake news, he's talking about Covid antibodies specifically." "CT" "fake_stop" -2 "negative" "2" "(-3;-1]"
"938" "@ishmael_motaung @MickyJnr__ @DavidMVM @CAF_Online They still enjoying the covid money" "CT" "enjoying" 2 "positive" "1" "[1;3)"
"949" "My 8 yo had a Covid test today.  Please please please let it be some mundane kiddy virus and not the C word" "CT" "please" 1 "negative" "1" "[1;3)"
"953" "@RoyGus47 I had the Delta covid and recovered extremely fast. Took ivermectin and let my immune e system do the rest." "CT" "immune" 1 "positive" "1" "[1;3)"
"956" "Covid-19 and the new merchants of doubt - https://t.co/lxUkXpDoj1" "CT" "doubt" -1 "negative" "1" "(-3;-1]"
"957" "CDC finds unvaccinated 11 times more likely to die of COVID https://t.co/Pxjre9m8SS" "CT" "die" -3 "negative" "1" "[-5;-3]"
"965" "The Great Barrington Declaration is, unsurprisingly, bullshit: https://t.co/cZz5Auqvn6

(even the Guardian says so)" "CT" "bullshit_great" 0 "neutral" "2" "0"
"978" "Five children orphaned after both parents die of Covid https://t.co/KefFNIfsHC" "CT" "die" -3 "negative" "1" "[-5;-3]"
"1003" "@MfokaMqulusi 2020: lost my unborn baby.... lost my job from covid and on December my dad passed away" "DBN" "lost" -3 "negative" "1" "[-5;-3]"
"1018" "@SmithDisciple A joke a day keeps the Covid away so let it rip" "DBN" "joke" 2 "negative" "1" "[1;3)"
"1020" "@mandymatsinhe Ay shame covid angazi soyikhohlwa nini" "DBN" "shame" -2 "negative" "1" "(-3;-1]"
"1022" "Phoenix school cleared of flouting Covid regulations

https://t.co/MQPDPOMw29

@ecr9495 | @nushera https://t.co/BwvgPfdC7v" "DBN" "cleared" 1 "positive" "1" "[1;3)"
"1027" "@ThePiper @zilevandamme 20s were 43, and this was in 2020 where every death was classified as covid death https://t.co/1RmV98gZb4" "DBN" "death" -2 "negative" "1" "(-3;-1]"
"1030" "MOST IMPORTANT VIDEO IN YOUR LIFETIME? GEERT BOSSHE URGES THE WORLD - STOP COVID VACCINES CATASTROPE https://t.co/rir3ux0Ilr via @BitChute" "DBN" "important_stop" 0 "positive" "2" "0"
"1031" "@DiTools @Mabongilesi @ThaboMakwakwa I know the former Mayor, so? I still ask, so what? You haven't made your point.  He died of covid-19" "DBN" "died" -3 "negative" "1" "[-5;-3]"
"1063" "@AtmJansen @ThabisoTema @CyrilRamaphosa @Powerfm987 A bit like COVID, the more you test the more positives you find" "DBN" "like" 2 "positive" "1" "[1;3)"
"1067" "@eNCA That minister is talking nonsense, while they waist money on Covid relief to buy votes" "DBN" "nonsense" -2 "neutral" "1" "(-3;-1]"
"1079" "@enterprisetv_sa I fear the after effects of COVID-19" "DBN" "fear" -2 "negative" "1" "(-3;-1]"
"1087" "@leadahorse2 @natlopez85 @khanaftab9003 Covid clotting??? Do you people not read and do your own damn research!" "DBN" "damn" -4 "negative" "1" "[-5;-3]"
"1097" "@WendelBloem1 Covid 19 Vaccine doesn't protect against Covid 19.....So what is it for?...Answer me there ndiyolala" "DBN" "protect" 1 "positive" "1" "[1;3)"
"1098" "Pracrical question: Both my kids have been with their mom and now have flu symptoms. If it turns out to be Covid do I..." "DBN" "flu" -2 "negative" "1" "(-3;-1]"
"1100" "Dis-Chem acts against staff issuing fraudulent COVID jab certificates https://t.co/YPTPR959RE" "DBN" "fraudulent" -4 "negative" "1" "[-5;-3]"
"1102" "@witchbail @Makhido @vngalwana Please direct me on that law regarding covid vaccines, thank you." "DBN" "please_thank" 2 "positive" "2" "[1;3)"
"1103" "@ntsikimazwai No lies detected here. If there was no media, covid would not be existed" "DBN" "no" -1 "negative" "1" "(-3;-1]"
"1115" "@simphiwedana We are ready to continue with a normal way, we are not afraid of covid-19 we have been receiving without vaccine so why now" "DBN" "afraid" -2 "neutral" "1" "(-3;-1]"
"1133" "@CoruscaKhaya Only a few die with covid  when compared to the one who die after taking vaccine" "DBN" "die" -3 "negative" "1" "[-5;-3]"
"1145" "@magicdan60 nice to know. I've just recovered from covid and clear. early detection and treatment saved me. No vaccine. natural Immunity." "DBN" "clear_natural_nice_no_saved" 1 "positive" "5" "[1;3)"
"1149" "First time in a hospital today since Covid became a thing. 

Will undoubtedly be weird." "DBN" "weird" -2 "negative" "1" "(-3;-1]"
"1158" "@Hammyinmiami @thehubrispanda Covid has robbed us of this great act of kindness" "DBN" "great" 3 "positive" "1" "[3;5]"
"1165" "@CoruscaKhaya Fuckin Genius of a Virus, mock me and Die. Even HIV doesn't see niks kwi Covid-19. https://t.co/Gdz7d1aaXZ" "DBN" "die_mock" -2 "negative" "2" "(-3;-1]"
"1169" "@XcoozeRachel @Halo69_420 @BenGwalchmai @siberianpine I really hope my covid test is negative today lol" "DBN" "hope_lol_negative" 1 "negative" "3" "[1;3)"
"1176" "@SABCNews And those vaccinated but covid positive.? https://t.co/z7yiua2t5E" "DBN" "positive" 2 "positive" "1" "[1;3)"
"1184" "@dailymaverick So nice attempt attempt at marketing covid 19" "DBN" "nice" 3 "positive" "1" "[3;5]"
"1196" "Holy poop, who would have thought were all caught up in a hoax pandemic. Covid 19 has been so wonderfully marketed. https://t.co/9y3dCGkGKZ" "DBN" "hoax" -2 "positive" "1" "(-3;-1]"
"1197" "Covid such a crisis https://t.co/XzkbJfIH6I" "DBN" "crisis" -3 "negative" "1" "[-5;-3]"
"1210" "@SueC00K @AllisonPearson Covid-19: Grandparents are more at risk from serious illness after contracting Delta from non vaccinated children." "DBN" "illness_risk" -2 "negative" "2" "(-3;-1]"
"1212" "@ThaboMakwakwa I think the question should be, are you ready to volunteer being killed by covid 19?" "DBN" "killed" -3 "neutral" "1" "[-5;-3]"
"1217" "Second COVID-19 Vaccine done! In and out in just over 15 minutes. Life Entabeni was super friendly and efficient, thank you!" "DBN" "friendly_super_thank" 2 "positive" "3" "[1;3)"
"1224" "Religion, politics &amp; economics are inter-related spheres. During Covid-19 time, they have had a positive &amp; negative interaction." "DBN" "negative_positive" 0 "neutral" "2" "0"
"1226" "Problem debt 'rocketing' in Wales during Covid, says report | The National Wales https://t.co/kyfWESITE2" "DBN" "debt_problem" -2 "negative" "2" "(-3;-1]"
"1249" "@brenontheroad Where I'm from IVM is given to people who test positive in a covid pack and the recovery rate is excellent!" "DBN" "excellent_positive" 2 "positive" "2" "[1;3)"
"1263" "@Adoradomingo1 @vlok_andre I'm not referring to the Covid conspiracy thinking, but rather to the broader biblical worldview." "DBN" "conspiracy" -3 "negative" "1" "[-5;-3]"
"1283" "Grandkid stayed over last night. This morning felt fluey.....bloody positive for Covid!" "DBN" "bloody_positive" 0 "neutral" "2" "0"
"1295" "@nofootlongs_ So disgusting omg I'd rather have covid" "DBN" "disgusting" -3 "negative" "1" "[-5;-3]"
"1307" "@TrueAfrique @Lungah__ It not a conspiracy theory that vaccinating won't give you immunity to covid they already told you that" "DBN" "conspiracy" -3 "negative" "1" "[-5;-3]"
"1309" "@Palapo2020 @jjchamie Yes and India don't add the flu to covid numbers like the rest of the dumbass world." "DBN" "dumbass_flu_like_yes" 0 "positive" "4" "0"
"1322" "@ofnwchyrhenwaed Aye but it's people I live with being nervous and stuff cos it might be covid urrghhh" "DBN" "nervous" -2 "negative" "1" "(-3;-1]"
"1325" "@Pheliswa_maZulu @DrMusaMthombeni Is possibly getting severely sick from covid not also scary for you?" "DBN" "scary_sick" -2 "negative" "2" "(-3;-1]"
"1356" "@SizweLo 4 of my colleuges where overweight nd where critical ill because of Covid, so I agree with that" "DBN" "agree_ill_overweight" -1 "negative" "3" "(-3;-1]"
"1391" "@Kundimasekesa @zimlive Ndoda ktozivawo coz as they say take the jab to protect urself .why shld they care about myself on covid only" "DBN" "care_protect" 2 "positive" "2" "[1;3)"
"1401" "I distrust the reasoning of those who go quickly to the politics in any discussion of Covid." "DBN" "distrust" -3 "negative" "1" "[-5;-3]"
"1411" "@fscentralnews Cover up to convince more people to vaccinate but in reality people do die after taking a covid jab." "DBN" "convince_die" -1 "negative" "2" "(-3;-1]"
"1415" "@SharonVW Tragic. 

IMHO its the additional stress and anxiety caused by Covid has upset the balance. Highlighting health issues." "DBN" "anxiety_tragic_upset" -2 "negative" "3" "(-3;-1]"
"1495" "Covid the flu is not yellow fever. No need for covid vaccine pass. https://t.co/1er6FDXWZj" "DBN" "flu_no" -2 "negative" "2" "(-3;-1]"
"1496" "News outlets like @News24 putting Covid-19 information behind paywalls is iniquitous. Boycott them" "DBN" "boycott_like" 0 "negative" "2" "0"
"1504" "@ct_shivambu Over 90% unvaccinated fools didn't die when they got covid" "DBN" "die_fools" -2 "negative" "2" "(-3;-1]"
"1528" "DJ Tira dragged for promoting Covid-19 vaccine

https://t.co/wqv7BPmBzJ" "DBN" "dragged_promoting" 0 "negative" "2" "0"
"1531" "@Mtoleezy The two are so unsimillar. Almost everyone who contracts HIV knows where they got it. With covid, it's difficult to." "DBN" "difficult" -1 "negative" "1" "(-3;-1]"
"1536" "@Ta_Fitty It covid 19 no shake hand broe and if that makes u feel not good sorry for u cos; us we move one with the good results" "DBN" "good_no_sorry" 1 "neutral" "3" "[1;3)"
"1561" "@TheYoshiza @CyrilRamaphosa We stand a better chance of surviving Covid through natural remedies, than through the vaccine." "DBN" "better_chance_natural_surviving" 2 "positive" "4" "[1;3)"
"1574" "Some Good News. England ditches Covid Vaccine Plan. https://t.co/PD9rMSb31q" "DBN" "good" 3 "positive" "1" "[3;5]"
"1600" "@mmpadellan All moot since the vaccines don't prevent covid or transmission!" "DBN" "prevent" -1 "negative" "1" "(-3;-1]"
"1611" "@_LeratoMabuza Angithi You're protected from covid? Why yall so bothered from other people's choices? It's their lives" "DBN" "bothered_protected" 0 "negative" "2" "0"
"1619" "@danielmarven they killed him and now pushing a lie that he was killed by covid" "DBN" "killed" -3 "negative" "1" "[-5;-3]"
"1621" "@DJTira After COVID you will loose many fans 

Do not sacrifice us for money" "DBN" "loose" -3 "neutral" "1" "[-5;-3]"
"1628" "@raegldn I got COVID symptoms can you help me??" "DBN" "help" 2 "negative" "1" "[1;3)"
"1645" "Safe transportation for passengers 
@MrsMbuqeK 
#Covid_19 
#NewMedia https://t.co/nrcxNuxLbF" "DBN" "safe" 1 "positive" "1" "[1;3)"
"1650" "It's good that KKM finally has a good Covid dashboard but I'm gonna miss @Malaysiakini 's https://t.co/kv8XTTNfbn" "DBN" "good_miss" 1 "positive" "2" "[1;3)"
"1651" "Covid proves that \"right to freedom\" is a SCAM #Level2" "DBN" "freedom_scam" 0 "positive" "2" "0"
"1656" "@BayedeNews Covid-19 remains a scam." "DBN" "scam" -2 "negative" "1" "(-3;-1]"
"1660" "@UncleStubbsy1 @mfana0122 @PresidencyZA Did the Vaccine cure covid? Don't be stupid" "DBN" "stupid" -2 "neutral" "1" "(-3;-1]"
"1668" "#FamilyMeeting it would seem like conspiracy theories are coming live! Covid Passport https://t.co/2qL7xUm4Ph" "DBN" "conspiracy_like" 0 "neutral" "2" "0"
"1685" "@Snowbell8_8 Covid has taught me that too friend. Sad but true" "DBN" "sad_true" 0 "negative" "2" "0"
"1721" "@SithaleKgaogelo Atleast for Covid-19 there's a Vaccine, this sad generation beautiful pictures pandemic is something else." "DBN" "beautiful_sad" 0 "neutral" "2" "0"
"1724" "I love the restaurants' Covid-19 policy of \"No Mask, No Entry.\" Only for you to take it off when inside. Well played!" "DBN" "love_no" 0 "positive" "2" "0"
"1731" "@sdu_mpembe To be honest, Covid" "DBN" "honest" 2 "positive" "1" "[1;3)"
"1734" "@Karabo_Mokgoko This sauce been in the fridge even before Covid-19,  When is it ever best to use it?" "DBN" "best" 3 "positive" "1" "[3;5]"
"1742" "In SA it all fake news bafethu

Teenage boys more at risk from vaccines than Covid https://t.co/FSBhboIO8q" "DBN" "fake_risk" -2 "negative" "2" "(-3;-1]"
"1749" "@Ikwane Covid pneumonia and fibrosis of the lungs .. permanent damage" "DBN" "damage" -3 "negative" "1" "[-5;-3]"
"1761" "@RichardsBayFC_ @UthongathiFC Ya eish what a game , Covid nx ngabe soybuka live bt my both mkhaya's may best team win" "DBN" "best_win" 4 "positive" "2" "[3;5]"
